posicion,equipo,puntos,diferencia_goles,goles_marcados,goles_a_domicilio,victorias,victorias_domicilio,opponents_points,opponents_goal_difference,opponents_goals_scored,disciplinary_points,club_coefficient
1,Arsenal,21,18,20,11,7,4,69,-3,80,-18,36
2,Bayern München,18,13,20,8,6,2,79,18,91,-19,27.25
3,Real Madrid,15,11,19,9,5,2,67,-11,73,-18,24.5
4,Liverpool,15,6,14,9,5,3,71,12,93,-8,29.5
5,Tottenham,14,8,15,5,4,0,51,-21,79,-16,32.25
6,Paris,13,10,20,10,4,2,88,24,94,-13,33.5
7,Newcastle,13,10,16,7,4,1,59,-16,74,-12,0
8,Chelsea,13,6,14,4,4,0,72,-5,78,-17,30
9,Barcelona,13,5,18,9,4,2,61,-4,84,-18,36.25
10,Sporting CP,13,5,14,3,4,0,68,3,89,-14,14.5
11,Man City,13,4,13,7,4,2,59,-12,80,-20,14.75
12,Atleti,13,3,16,6,4,1,76,12,88,-19,26.5
13,Atalanta,13,1,10,4,4,2,57,-13,78,-11,21
14,Inter,12,6,13,7,4,2,65,-20,73,-13,40.25
15,Juventus,12,4,14,5,3,1,58,-2,79,-12,16.25
16,B. Dortmund,11,4,19,9,3,1,62,-6,77,-10,27.75
17,Galatasaray,10,0,9,4,3,1,59,-30,74,-22,12.75
18,Qarabag,10,-2,13,4,3,1,53,-34,62,-9,3
19,Marseille,9,0,11,5,3,1,81,11,87,-20,0
20,Leverkusen,9,-4,10,5,2,2,69,10,89,-18,23.25
21,Monaco,9,-6,8,5,2,1,71,10,84,-16,17
22,PSV,8,1,15,6,2,1,72,-5,78,-15,21.25
23,Athletic Club,8,-4,7,4,2,1,84,30,102,-14,26.75
24,Olympiacos,8,-5,8,2,2,1,73,11,91,-16,18.5
25,Napoli,8,-5,7,3,2,0,62,-11,82,-17,0
26,Copenhagen,8,-6,11,3,2,1,54,-23,74,-20,7.375
27,Club Brugge,7,-5,12,5,2,1,88,22,95,-8,15.75
28,Bodø/Glimt,6,-2,12,5,1,0,72,3,82,-10,21
29,Benfica,6,-4,6,2,2,1,71,-3,81,-15,18.75
30,Pafos,6,-6,4,0,1,0,62,-12,74,-18,11.125
31,Union SG,6,-10,7,5,2,2,83,33,100,-15,9
32,Ajax,6,-12,7,7,2,2,61,-4,71,-19,13.25
33,Frankfurt,4,-9,10,4,1,0,82,8,87,-9,23
34,Slavia Praha,3,-11,4,0,0,0,87,32,95,-15,4
35,Villarreal,1,-10,5,0,0,0,70,-4,83,-22,0
36,Kairat Almaty,1,-14,5,4,0,0,69,0,81,-15,0
